payment_ref,invoice_no,vendor_id,vendor_category,business_unit,transaction_date,amount,is_duplicate,post_migration,treated_bu,flag_r1,flag_r2,flag_r3,duplicate_score,predicted_duplicate
PMT-000097,INV-97900,V1068,Facilities,BU_Central,2023-01-01,9083.85,0,0,0,0,0,0,0,0
PMT-005453,INV-20361,V1094,IT Services,BU_East,2023-01-01,50656.87,0,0,0,0,0,0,0,0
PMT-012181,INV-71174,V1081,IT Services,BU_North,2023-01-01,68335.5,0,0,1,0,0,0,0,0
PMT-013571,INV-84935,V1022,Consulting,BU_West,2023-01-01,29117.49,0,0,0,0,0,0,0,0
PMT-010243,INV-63365,V1002,IT Services,BU_South,2023-01-01,67786.06,0,0,1,0,0,0,0,0
PMT-010343,INV-54848,V1047,IT Services,BU_South,2023-01-01,25624.33,0,0,1,0,0,0,0,0
PMT-005972,INV-38468,V1044,Consulting,BU_East,2023-01-01,14261.66,0,0,0,0,0,0,0,0
PMT-009034,INV-93084,V1028,Office Supplies,BU_South,2023-01-01,1412.02,0,0,1,0,0,0,0,0
PMT-010759,INV-35085,V1013,IT Services,BU_West,2023-01-01,19899.55,0,0,0,0,0,0,0,0
PMT-000670,INV-87814,V1016,Logistics,BU_South,2023-01-01,2010.78,0,0,1,0,0,0,0,0
PMT-003418,INV-28920,V1063,Consulting,BU_Central,2023-01-01,45493.34,0,0,0,0,0,0,0,0
PMT-010517,INV-36415,V1081,IT Services,BU_West,2023-01-01,21303.88,1,0,0,0,1,1,2,1
PMT-011493,INV-85911,V1099,Logistics,BU_South,2023-01-01,2466.69,0,0,1,0,0,0,0,0
PMT-013512,INV-47374,V1076,IT Services,BU_South,2023-01-01,27015.38,0,0,1,0,0,0,0,0
PMT-003701,INV-43152,V1024,IT Services,BU_North,2023-01-01,9920.06,0,0,1,0,0,0,0,0
PMT-012241,INV-65141,V1070,Logistics,BU_Central,2023-01-01,13816.32,0,0,0,0,0,0,0,0
PMT-010531,INV-23783,V1044,IT Services,BU_North,2023-01-02,37857.55,0,0,1,0,0,0,0,0
PMT-005556,INV-37976,V1031,Consulting,BU_West,2023-01-02,33156.14,0,0,0,0,0,0,0,0
PMT-006143,INV-19653,V1028,Facilities,BU_East,2023-01-02,3484.77,0,0,0,0,0,0,0,0
PMT-002247,INV-11161,V1075,Logistics,BU_South,2023-01-02,8943.47,0,0,1,0,0,0,0,0
PMT-009648,INV-34947,V1015,IT Services,BU_South,2023-01-02,76355.41,0,0,1,0,0,0,0,0
PMT-006133,INV-15879,V1068,Consulting,BU_East,2023-01-02,39511.07,0,0,0,0,0,0,0,0
PMT-006554,INV-28238,V1029,IT Services,BU_North,2023-01-02,34041.34,0,0,1,0,0,0,0,0
PMT-010687,INV-37305,V1052,IT Services,BU_South,2023-01-02,10115.47,0,0,1,0,0,0,0,0
PMT-010398,INV-16573,V1060,Consulting,BU_West,2023-01-02,36883.83,0,0,0,0,0,0,0,0
PMT-005966,INV-86253,V1023,Logistics,BU_North,2023-01-02,10657.78,0,0,1,0,0,0,0,0
PMT-001277,INV-70115,V1001,Consulting,BU_Central,2023-01-02,40987.05,0,0,0,0,0,0,0,0
PMT-013240,INV-79731,V1030,IT Services,BU_North,2023-01-02,42234.57,0,0,1,0,0,0,0,0
PMT-007574,INV-25203,V1015,Consulting,BU_West,2023-01-02,36376.67,0,0,0,0,0,0,0,0
PMT-006652,INV-17047,V1078,IT Services,BU_Central,2023-01-02,45232.22,0,0,0,0,0,0,0,0
PMT-011304,INV-75900,V1000,Logistics,BU_South,2023-01-02,12589.24,0,0,1,0,0,0,0,0
PMT-002092,INV-15997,V1046,Office Supplies,BU_East,2023-01-02,3569.86,0,0,0,0,0,0,0,0
PMT-005009,INV-60394,V1011,Logistics,BU_North,2023-01-02,1097.41,0,0,1,0,0,0,0,0
PMT-005894,INV-17732,V1076,IT Services,BU_West,2023-01-02,70257.91,0,0,0,0,0,0,0,0
PMT-009821,INV-66219,V1044,Logistics,BU_South,2023-01-02,4420.06,0,0,1,0,0,0,0,0
PMT-007300,INV-77428,V1088,Logistics,BU_North,2023-01-02,6551.55,0,0,1,0,0,0,0,0
PMT-002298,INV-57500,V1002,Facilities,BU_South,2023-01-02,4732.69,0,0,1,0,0,0,0,0
PMT-006831,INV-57297,V1062,Consulting,BU_North,2023-01-02,39321.81,0,0,1,0,0,0,0,0
PMT-013351,INV-84302,V1073,Logistics,BU_East,2023-01-02,4539.93,0,0,0,0,0,0,0,0
PMT-000213,INV-86011,V1075,Consulting,BU_East,2023-01-02,5705.26,0,0,0,0,0,0,0,0
PMT-007163,INV-25599,V1012,Office Supplies,BU_Central,2023-01-02,4941.07,0,0,0,0,0,0,0,0
PMT-012144,INV-95307,V1032,IT Services,BU_South,2023-01-02,30036.47,0,0,1,0,0,1,1,0
PMT-000031,INV-33416,V1097,Facilities,BU_East,2023-01-02,4375.83,0,0,0,0,0,0,0,0
PMT-012931,INV-84859,V1088,Logistics,BU_Central,2023-01-02,7369.63,1,0,0,0,1,1,2,1
PMT-008158,INV-46482,V1075,Logistics,BU_Central,2023-01-02,3712.02,0,0,0,0,0,0,0,0
PMT-003654,INV-45396,V1098,Office Supplies,BU_South,2023-01-02,4248.47,0,0,1,0,0,0,0,0
PMT-012124,INV-69476,V1031,Facilities,BU_Central,2023-01-02,5657.85,0,0,0,0,0,0,0,0
PMT-012410,INV-58479,V1040,IT Services,BU_Central,2023-01-02,40659.23,0,0,0,0,0,0,0,0
PMT-001426,INV-74314,V1098,Consulting,BU_Central,2023-01-02,33861.66,0,0,0,0,0,0,0,0
PMT-003289,INV-37553,V1029,Consulting,BU_West,2023-01-02,46241.79,0,0,0,0,0,0,0,0
PMT-008294,INV-83215,V1000,Logistics,BU_West,2023-01-02,3280.83,0,0,0,0,0,0,0,0
PMT-007361,INV-33854,V1055,Facilities,BU_East,2023-01-02,6444.13,0,0,0,0,0,0,0,0
PMT-007225,INV-60843,V1027,Logistics,BU_West,2023-01-02,8619.55,0,0,0,0,0,0,0,0
PMT-009274,INV-12624,V1028,Logistics,BU_North,2023-01-02,7487.37,0,0,1,0,0,0,0,0
PMT-012542,INV-28546,V1053,Facilities,BU_West,2023-01-02,7306.3,0,0,0,0,0,0,0,0
PMT-008073,INV-18795,V1043,Consulting,BU_North,2023-01-02,25498.98,0,0,1,0,0,0,0,0
PMT-003706,INV-11803,V1089,Consulting,BU_South,2023-01-02,22936.7,0,0,1,0,0,0,0,0
PMT-009988,INV-85657,V1086,Consulting,BU_North,2023-01-02,38874.8,0,0,1,0,0,0,0,0
PMT-013056,INV-96904,V1051,Logistics,BU_North,2023-01-02,12572.55,0,0,1,0,0,0,0,0
PMT-002703,INV-90113,V1071,Office Supplies,BU_West,2023-01-02,2066.23,0,0,0,0,0,0,0,0
PMT-004054,INV-19159,V1056,Logistics,BU_South,2023-01-02,3779.6,0,0,1,0,0,0,0,0
PMT-004304,INV-69905,V1002,Consulting,BU_South,2023-01-02,35310.85,0,0,1,0,0,0,0,0
PMT-009181,INV-64664,V1020,Facilities,BU_North,2023-01-02,911.95,0,0,1,0,0,0,0,0
PMT-012024,INV-96248,V1025,IT Services,BU_West,2023-01-02,19621.96,0,0,0,0,0,0,0,0
PMT-009903,INV-14903,V1037,Office Supplies,BU_North,2023-01-03,1614.43,0,0,1,0,0,0,0,0
PMT-010186,INV-43879,V1044,Logistics,BU_Central,2023-01-03,2561.97,0,0,0,0,0,0,0,0
PMT-009351,INV-39372,V1031,Office Supplies,BU_Central,2023-01-03,2118.94,0,0,0,0,0,0,0,0
PMT-009046,INV-45461,V1043,Facilities,BU_Central,2023-01-03,9734.17,0,0,0,0,0,0,0,0
PMT-001065,INV-23954,V1064,IT Services,BU_East,2023-01-03,71144.58,0,0,0,0,0,0,0,0
PMT-013828,INV-36847,V1097,Office Supplies,BU_South,2023-01-03,761.43,0,0,1,0,0,0,0,0
PMT-007964,INV-91919,V1079,IT Services,BU_East,2023-01-03,16592.91,0,0,0,0,0,0,0,0
PMT-006216,INV-96236,V1002,Facilities,BU_East,2023-01-03,9870.94,0,0,0,0,0,0,0,0
PMT-002983,INV-56348,V1052,Office Supplies,BU_West,2023-01-03,2677.45,0,0,0,0,0,0,0,0
PMT-014966,INV-61192,V1067,Consulting,BU_East,2023-01-03,21445.23,0,0,0,0,0,0,0,0
PMT-006021,INV-48365,V1025,Office Supplies,BU_South,2023-01-03,3305.79,0,0,1,0,0,0,0,0
PMT-013527,INV-88918,V1029,Logistics,BU_West,2023-01-03,6553.04,0,0,0,0,0,0,0,0
PMT-004355,INV-95674,V1089,IT Services,BU_West,2023-01-03,10084.73,0,0,0,0,0,0,0,0
PMT-000922,INV-66729,V1070,Consulting,BU_Central,2023-01-03,23652.03,0,0,0,0,0,0,0,0
PMT-007894,INV-63254,V1043,IT Services,BU_Central,2023-01-03,23790.95,0,0,0,0,0,0,0,0
PMT-007504,INV-78760,V1018,Logistics,BU_Central,2023-01-03,4610.1,0,0,0,0,0,0,0,0
PMT-010236,INV-27109,V1091,IT Services,BU_East,2023-01-03,33817.29,0,0,0,0,0,0,0,0
PMT-012763,INV-38914,V1026,Consulting,BU_North,2023-01-03,43415.11,0,0,1,0,0,0,0,0
PMT-008472,INV-18584,V1024,Logistics,BU_Central,2023-01-03,6112.29,0,0,0,0,0,0,0,0
PMT-002765,INV-22300,V1025,Consulting,BU_East,2023-01-03,23445.69,0,0,0,0,0,0,0,0
PMT-DUP-000256,INV-84859,V1088,Logistics,BU_Central,2023-01-03,7369.63,1,0,0,1,1,1,3,1
PMT-006764,INV-43209,V1050,Office Supplies,BU_East,2023-01-03,4240.11,0,0,0,0,0,0,0,0
PMT-012081,INV-44224,V1086,IT Services,BU_North,2023-01-03,79812.93,0,0,1,0,0,0,0,0
PMT-008599,INV-20102,V1063,Consulting,BU_South,2023-01-03,7850.39,0,0,1,0,0,1,1,0
PMT-013931,INV-65516,V1006,Office Supplies,BU_South,2023-01-03,1245.01,0,0,1,0,0,0,0,0
PMT-005447,INV-89731,V1009,IT Services,BU_West,2023-01-03,67584.07,0,0,0,0,0,0,0,0
PMT-003860,INV-35437,V1099,Facilities,BU_Central,2023-01-03,4718.22,0,0,0,0,0,0,0,0
PMT-002750,INV-83716,V1096,Consulting,BU_East,2023-01-03,29757.33,0,0,0,0,0,0,0,0
PMT-008569,INV-82615,V1089,Office Supplies,BU_West,2023-01-03,3034.69,0,0,0,0,0,0,0,0
PMT-005084,INV-94129,V1012,Logistics,BU_South,2023-01-03,6858.26,0,0,1,0,0,0,0,0
PMT-002148,INV-26127,V1040,IT Services,BU_Central,2023-01-03,34723.45,0,0,0,0,0,0,0,0
PMT-005825,INV-65523,V1078,IT Services,BU_North,2023-01-03,6240.28,0,0,1,0,0,0,0,0
PMT-012180,INV-81719,V1078,Consulting,BU_South,2023-01-03,30774.6,0,0,1,0,0,0,0,0
PMT-007909,INV-78710,V1086,Consulting,BU_Central,2023-01-03,36509.06,0,0,0,0,0,0,0,0
PMT-008979,INV-35250,V1022,Consulting,BU_West,2023-01-03,18192.6,0,0,0,0,0,0,0,0
PMT-012263,INV-98534,V1043,Logistics,BU_West,2023-01-03,14258.5,0,0,0,0,0,0,0,0
PMT-004074,INV-20832,V1060,IT Services,BU_Central,2023-01-03,27779.29,0,0,0,0,0,0,0,0
PMT-001525,INV-94835,V1042,Facilities,BU_Central,2023-01-03,4458.03,0,0,0,0,0,0,0,0
PMT-009013,INV-86952,V1035,IT Services,BU_North,2023-01-03,56823.06,0,0,1,0,0,0,0,0
PMT-009655,INV-75970,V1069,IT Services,BU_East,2023-01-04,72191.29,0,0,0,0,0,0,0,0
PMT-009708,INV-74544,V1036,Facilities,BU_South,2023-01-04,5718.93,0,0,1,0,0,0,0,0
PMT-007067,INV-23273,V1082,IT Services,BU_East,2023-01-04,37515.73,0,0,0,0,0,0,0,0
PMT-DUP-000131,INV-36415,V1081,IT Services,BU_West,2023-01-04,21303.88,1,0,0,1,1,1,3,1
PMT-007179,INV-66592,V1069,Logistics,BU_Central,2023-01-04,14765.61,0,0,0,0,0,0,0,0
PMT-013947,INV-74507,V1032,IT Services,BU_South,2023-01-04,9464.69,0,0,1,0,0,0,0,0
PMT-010508,INV-99810,V1026,Consulting,BU_West,2023-01-04,12231.46,0,0,0,0,0,0,0,0
PMT-006076,INV-36805,V1043,Consulting,BU_South,2023-01-04,23188.81,0,0,1,0,0,0,0,0
PMT-014632,INV-98349,V1061,Consulting,BU_North,2023-01-04,14222.02,0,0,1,0,0,0,0,0
PMT-012749,INV-35726,V1018,IT Services,BU_West,2023-01-04,53551.01,0,0,0,0,0,0,0,0
PMT-012728,INV-54127,V1023,Facilities,BU_South,2023-01-04,3130.09,0,0,1,0,0,0,0,0
PMT-003032,INV-23115,V1051,Consulting,BU_West,2023-01-04,26120.62,0,0,0,0,0,0,0,0
PMT-003225,INV-60793,V1007,Office Supplies,BU_West,2023-01-04,786.21,0,0,0,0,0,0,0,0
PMT-003367,INV-58249,V1074,Consulting,BU_East,2023-01-04,46872.39,0,0,0,0,0,0,0,0
PMT-003369,INV-59060,V1071,IT Services,BU_Central,2023-01-04,75783.06,1,0,0,0,1,1,2,1
PMT-012892,INV-55179,V1053,IT Services,BU_North,2023-01-04,6644.79,0,0,1,0,0,0,0,0
PMT-002864,INV-87352,V1090,Facilities,BU_East,2023-01-04,2614.08,0,0,0,0,0,0,0,0
PMT-014717,INV-97505,V1048,Logistics,BU_East,2023-01-04,4007.88,0,0,0,0,0,0,0,0
PMT-012126,INV-25298,V1016,Consulting,BU_South,2023-01-04,30170.32,0,0,1,0,0,0,0,0
PMT-000593,INV-59792,V1079,IT Services,BU_West,2023-01-04,12688.23,0,0,0,0,0,0,0,0
PMT-004002,INV-77404,V1030,IT Services,BU_East,2023-01-04,12181.56,0,0,0,0,0,0,0,0
PMT-010231,INV-61410,V1055,Logistics,BU_North,2023-01-04,8330.41,0,0,1,0,0,0,0,0
PMT-011869,INV-40087,V1006,Office Supplies,BU_East,2023-01-04,4791.97,0,0,0,0,0,0,0,0
PMT-004348,INV-83722,V1044,Office Supplies,BU_West,2023-01-04,2835.22,0,0,0,0,0,0,0,0
PMT-004436,INV-32052,V1089,IT Services,BU_South,2023-01-04,73782.39,0,0,1,0,0,0,0,0
PMT-004599,INV-83565,V1053,Office Supplies,BU_North,2023-01-04,3824.5,0,0,1,0,0,0,0,0
PMT-014572,INV-68185,V1089,Office Supplies,BU_Central,2023-01-04,4275.6,0,0,0,0,0,0,0,0
PMT-013265,INV-21832,V1036,IT Services,BU_East,2023-01-04,16361.38,0,0,0,0,0,0,0,0
PMT-004972,INV-63354,V1031,IT Services,BU_West,2023-01-04,5913.49,0,0,0,0,0,0,0,0
PMT-002392,INV-47172,V1064,Consulting,BU_East,2023-01-04,29110.83,0,0,0,0,0,0,0,0
PMT-005245,INV-74571,V1061,Consulting,BU_East,2023-01-04,32498.13,0,0,0,0,0,0,0,0
PMT-010906,INV-94512,V1067,Logistics,BU_West,2023-01-04,1157.35,0,0,0,0,0,0,0,0
PMT-002187,INV-55227,V1095,Consulting,BU_West,2023-01-04,5404.06,0,0,0,0,0,0,0,0
PMT-002072,INV-22697,V1000,Consulting,BU_South,2023-01-04,7437.69,0,0,1,0,0,0,0,0
PMT-005962,INV-22480,V1053,IT Services,BU_South,2023-01-04,12382.82,0,0,1,0,0,0,0,0
PMT-010403,INV-20946,V1025,IT Services,BU_North,2023-01-04,45370.79,0,0,1,0,0,0,0,0
PMT-004223,INV-95370,V1083,Office Supplies,BU_North,2023-01-04,1308.47,0,0,1,0,0,0,0,0
PMT-001454,INV-95426,V1011,IT Services,BU_North,2023-01-04,77980.86,0,0,1,0,0,0,0,0
PMT-012793,INV-27070,V1023,Consulting,BU_Central,2023-01-04,33228.41,0,0,0,0,0,0,0,0
PMT-007788,INV-85845,V1018,Office Supplies,BU_Central,2023-01-04,1251.38,0,0,0,0,0,0,0,0
PMT-001281,INV-91233,V1035,Consulting,BU_South,2023-01-04,40342.23,0,0,1,0,0,0,0,0
PMT-008113,INV-67229,V1087,Facilities,BU_East,2023-01-04,1220.68,0,0,0,0,0,0,0,0
PMT-008151,INV-11618,V1023,IT Services,BU_Central,2023-01-04,36161.16,0,0,0,0,0,0,0,0
PMT-008758,INV-13105,V1029,Consulting,BU_Central,2023-01-04,34478.05,0,0,0,0,0,0,0,0
PMT-009115,INV-98766,V1034,Consulting,BU_South,2023-01-04,39879.77,0,0,1,0,0,0,0,0
PMT-007891,INV-50403,V1042,Office Supplies,BU_North,2023-01-04,945.29,0,0,1,0,0,0,0,0
PMT-001129,INV-83472,V1052,IT Services,BU_Central,2023-01-04,43808.48,0,0,0,0,0,1,1,0
PMT-007841,INV-60462,V1051,Office Supplies,BU_West,2023-01-04,4190.13,1,0,0,0,1,1,2,1
PMT-007399,INV-39826,V1068,IT Services,BU_West,2023-01-04,26745.28,0,0,0,0,0,0,0,0
PMT-007553,INV-18760,V1095,Office Supplies,BU_North,2023-01-04,4397.85,0,0,1,0,0,0,0,0
PMT-014083,INV-28569,V1018,IT Services,BU_West,2023-01-04,67541.09,0,0,0,0,0,0,0,0
PMT-001191,INV-51275,V1027,Facilities,BU_East,2023-01-04,8366.29,0,0,0,0,0,0,0,0
PMT-DUP-000199,INV-60462,V1051,Office Supplies,BU_West,2023-01-05,4190.13,1,0,0,1,1,1,3,1
PMT-001969,INV-54541,V1045,Consulting,BU_West,2023-01-05,22608.09,0,0,0,0,0,0,0,0
PMT-000068,INV-23104,V1072,Logistics,BU_West,2023-01-05,14200.74,0,0,0,0,0,0,0,0
PMT-005497,INV-11435,V1015,Logistics,BU_Central,2023-01-05,12889.07,0,0,0,0,0,0,0,0
PMT-005119,INV-95036,V1005,IT Services,BU_South,2023-01-05,62981.76,0,0,1,0,0,0,0,0
PMT-011212,INV-48969,V1081,IT Services,BU_East,2023-01-05,53299.59,0,0,0,0,0,0,0,0
PMT-010497,INV-15573,V1012,IT Services,BU_Central,2023-01-05,62203.0,0,0,0,0,0,0,0,0
PMT-008734,INV-47097,V1025,Facilities,BU_Central,2023-01-05,4681.1,1,0,0,0,1,1,2,1
PMT-005495,INV-79586,V1093,Office Supplies,BU_East,2023-01-05,4415.25,0,0,0,0,0,0,0,0
PMT-002130,INV-23362,V1073,Consulting,BU_East,2023-01-05,19672.24,0,0,0,0,0,0,0,0
PMT-007594,INV-68591,V1002,Consulting,BU_Central,2023-01-05,22913.44,0,0,0,0,0,0,0,0
PMT-009106,INV-37462,V1064,Logistics,BU_Central,2023-01-05,4957.18,0,0,0,0,0,0,0,0
PMT-007498,INV-45959,V1008,Logistics,BU_North,2023-01-05,11616.28,0,0,1,0,0,0,0,0
PMT-010196,INV-94202,V1022,IT Services,BU_South,2023-01-05,30695.85,0,0,1,0,0,0,0,0
PMT-013842,INV-94688,V1066,IT Services,BU_West,2023-01-05,43189.49,0,0,0,0,0,0,0,0
PMT-001877,INV-46848,V1097,Consulting,BU_South,2023-01-05,17752.27,0,0,1,0,0,0,0,0
PMT-014271,INV-35657,V1090,IT Services,BU_Central,2023-01-05,32595.4,0,0,0,0,1,0,1,0
PMT-006277,INV-45801,V1026,Consulting,BU_Central,2023-01-05,16602.04,0,0,0,0,0,0,0,0
PMT-004936,INV-55758,V1014,Office Supplies,BU_Central,2023-01-05,1787.27,0,0,0,0,0,0,0,0
PMT-004089,INV-29677,V1017,Consulting,BU_Central,2023-01-05,14092.37,0,0,0,0,0,0,0,0
PMT-000874,INV-96832,V1012,IT Services,BU_East,2023-01-05,6439.42,0,0,0,0,0,0,0,0
PMT-009281,INV-48748,V1097,Consulting,BU_West,2023-01-05,39669.56,0,0,0,0,0,0,0,0
PMT-012101,INV-58254,V1079,Consulting,BU_South,2023-01-05,40249.25,0,0,1,0,0,0,0,0
PMT-002350,INV-59259,V1037,Consulting,BU_South,2023-01-05,9503.46,0,0,1,0,0,0,0,0
PMT-011306,INV-85602,V1003,Consulting,BU_Central,2023-01-05,26673.29,0,0,0,0,0,0,0,0
PMT-006589,INV-77773,V1065,IT Services,BU_Central,2023-01-05,61811.17,0,0,0,0,0,0,0,0
PMT-003630,INV-58892,V1078,Consulting,BU_East,2023-01-05,36857.54,0,0,0,0,0,0,0,0
PMT-004991,INV-69793,V1039,Logistics,BU_Central,2023-01-05,5954.68,0,0,0,0,0,0,0,0
PMT-013788,INV-37215,V1041,IT Services,BU_West,2023-01-05,57329.41,0,0,0,0,0,0,0,0
PMT-012290,INV-66497,V1066,Logistics,BU_North,2023-01-05,2308.7,0,0,1,0,0,0,0,0
PMT-011222,INV-78444,V1093,Office Supplies,BU_South,2023-01-05,1501.58,0,0,1,0,0,0,0,0
PMT-006874,INV-56443,V1089,Office Supplies,BU_Central,2023-01-05,4967.67,0,0,0,0,0,0,0,0
PMT-000887,INV-53078,V1021,Consulting,BU_South,2023-01-05,44927.98,0,0,1,0,0,0,0,0
PMT-001225,INV-96898,V1034,IT Services,BU_North,2023-01-05,9323.57,0,0,1,0,0,0,0,0
PMT-003540,INV-45695,V1098,Consulting,BU_East,2023-01-05,29165.34,0,0,0,0,0,0,0,0
PMT-012717,INV-86928,V1059,Consulting,BU_Central,2023-01-05,25394.68,0,0,0,0,0,0,0,0
PMT-001128,INV-40305,V1076,Consulting,BU_West,2023-01-05,44312.01,0,0,0,0,0,0,0,0
PMT-001407,INV-78847,V1012,Office Supplies,BU_North,2023-01-05,3499.7,0,0,1,0,0,0,0,0
PMT-014643,INV-93021,V1019,Logistics,BU_Central,2023-01-05,3541.32,0,0,0,0,0,0,0,0
PMT-010341,INV-45431,V1006,Consulting,BU_North,2023-01-05,15809.82,0,0,1,0,0,0,0,0
PMT-012222,INV-26757,V1080,Consulting,BU_North,2023-01-05,8906.14,0,0,1,0,0,0,0,0
PMT-013019,INV-75294,V1057,Consulting,BU_North,2023-01-05,12122.88,0,0,1,0,0,0,0,0
PMT-009334,INV-52418,V1002,Logistics,BU_North,2023-01-05,9556.89,0,0,1,0,0,0,0,0
PMT-000831,INV-32701,V1082,Facilities,BU_West,2023-01-05,6325.47,0,0,0,0,0,0,0,0
PMT-014045,INV-19539,V1059,Logistics,BU_South,2023-01-05,12765.9,0,0,1,0,0,0,0,0
PMT-007343,INV-96067,V1018,Consulting,BU_North,2023-01-05,40100.84,0,0,1,0,0,0,0,0
PMT-001139,INV-74694,V1001,Office Supplies,BU_South,2023-01-05,3846.17,0,0,1,0,0,0,0,0
PMT-002273,INV-21136,V1043,Logistics,BU_North,2023-01-05,6604.38,0,0,1,0,0,0,0,0
PMT-002826,INV-54128,V1042,IT Services,BU_South,2023-01-05,60626.31,0,0,1,0,0,0,0,0
PMT-005096,INV-54659,V1056,Office Supplies,BU_North,2023-01-05,3336.8,0,0,1,0,0,0,0,0
PMT-007156,INV-43323,V1000,IT Services,BU_South,2023-01-05,21991.54,0,0,1,0,0,0,0,0
PMT-012752,INV-24031,V1001,Consulting,BU_West,2023-01-05,48210.02,0,0,0,0,0,0,0,0
PMT-003253,INV-51064,V1011,IT Services,BU_North,2023-01-05,11357.46,0,0,1,0,0,0,0,0
PMT-008361,INV-71375,V1094,Facilities,BU_South,2023-01-05,3690.34,0,0,1,0,0,0,0,0
PMT-005260,INV-96990,V1045,Logistics,BU_North,2023-01-05,11357.15,0,0,1,0,0,0,0,0
PMT-002632,INV-72941,V1045,Office Supplies,BU_West,2023-01-05,3009.6,0,0,0,0,0,0,0,0
PMT-014375,INV-82214,V1027,IT Services,BU_East,2023-01-05,17217.7,0,0,0,0,0,0,0,0
PMT-011125,INV-13437,V1047,IT Services,BU_East,2023-01-06,69619.28,0,0,0,0,0,0,0,0
PMT-003502,INV-46329,V1079,IT Services,BU_North,2023-01-06,67343.44,0,0,1,0,0,0,0,0
PMT-008975,INV-24145,V1026,Logistics,BU_North,2023-01-06,6993.89,0,0,1,0,0,0,0,0
PMT-000158,INV-41635,V1010,Facilities,BU_Central,2023-01-06,8491.02,0,0,0,0,0,0,0,0
PMT-013116,INV-62812,V1049,Facilities,BU_Central,2023-01-06,8324.43,0,0,0,0,0,0,0,0
PMT-011234,INV-34480,V1063,Facilities,BU_East,2023-01-06,7872.14,0,0,0,0,0,1,1,0
PMT-009889,INV-64317,V1077,Office Supplies,BU_Central,2023-01-06,2252.87,0,0,0,0,0,0,0,0
PMT-003565,INV-83608,V1091,Office Supplies,BU_North,2023-01-06,1960.28,0,0,1,0,0,0,0,0
PMT-014588,INV-21473,V1004,Office Supplies,BU_East,2023-01-06,1450.2,0,0,0,0,0,0,0,0
PMT-002453,INV-67105,V1041,Office Supplies,BU_South,2023-01-06,4667.27,0,0,1,0,0,0,0,0
