payment_ref,invoice_no,vendor_id,vendor_category,business_unit,transaction_date,amount,is_duplicate,post_migration,treated_bu
PMT-013710,INV-42187,V1033,Office Supplies,BU_South,2023-07-01,2167.38,0,1,1
PMT-000560,INV-58896,V1010,Consulting,BU_East,2023-07-01,15483.2,0,1,0
PMT-014701,INV-40167,V1028,Consulting,BU_West,2023-07-01,6059.92,0,1,0
PMT-000585,INV-52523,V1076,Office Supplies,BU_Central,2023-07-01,528.74,0,1,0
PMT-003033,INV-66904,V1008,Facilities,BU_East,2023-07-01,2992.7,0,1,0
PMT-010374,INV-38322,V1024,Office Supplies,BU_North,2023-07-01,1902.94,0,1,1
PMT-DUP-000128,INV-47184,V1086,Consulting,BU_South,2023-07-01,38147.74,1,0,1
PMT-014773,INV-46234,V1030,Consulting,BU_North,2023-07-01,16507.77,0,1,1
PMT-008078,INV-33274,V1032,Consulting,BU_South,2023-07-01,30471.78,0,1,1
PMT-008447,INV-32714,V1014,Consulting,BU_West,2023-07-01,3361.8,0,1,0
PMT-001402,INV-45728,V1083,Logistics,BU_West,2023-07-01,14211.82,0,1,0
PMT-005629,INV-49210,V1062,Consulting,BU_West,2023-07-01,4169.17,0,1,0
PMT-011308,INV-21058,V1051,Consulting,BU_North,2023-07-01,26736.27,0,1,1
PMT-009683,INV-41584,V1085,Consulting,BU_East,2023-07-01,18964.79,0,1,0
PMT-012066,INV-67798,V1026,IT Services,BU_East,2023-07-01,31230.47,0,1,0
PMT-009975,INV-71215,V1099,Logistics,BU_South,2023-07-01,7749.14,0,1,1
PMT-013166,INV-80651,V1037,Facilities,BU_West,2023-07-01,5586.66,0,1,0
PMT-005970,INV-68916,V1093,IT Services,BU_Central,2023-07-01,12007.39,0,1,0
PMT-001311,INV-14085,V1035,Facilities,BU_North,2023-07-01,8058.18,0,1,1
PMT-004177,INV-94191,V1070,Office Supplies,BU_West,2023-07-01,4335.97,0,1,0
PMT-003126,INV-23582,V1049,Office Supplies,BU_West,2023-07-01,2587.14,0,1,0
PMT-000744,INV-46681,V1035,Facilities,BU_South,2023-07-01,4444.79,0,1,1
PMT-006472,INV-43259,V1058,IT Services,BU_South,2023-07-01,6376.15,0,1,1
PMT-008141,INV-41031,V1094,Office Supplies,BU_Central,2023-07-01,1812.44,0,1,0
PMT-008589,INV-18951,V1032,IT Services,BU_Central,2023-07-01,36915.07,0,1,0
PMT-006601,INV-52254,V1061,Office Supplies,BU_South,2023-07-02,521.6,0,1,1
PMT-013446,INV-51216,V1051,Logistics,BU_West,2023-07-02,7481.64,0,1,0
PMT-013976,INV-77305,V1025,IT Services,BU_South,2023-07-02,30446.21,0,1,1
PMT-008108,INV-29076,V1053,Logistics,BU_East,2023-07-02,5564.33,0,1,0
PMT-005747,INV-33947,V1081,Consulting,BU_Central,2023-07-02,22538.07,0,1,0
PMT-005990,INV-59617,V1017,IT Services,BU_Central,2023-07-02,40090.24,0,1,0
PMT-003336,INV-45750,V1018,Logistics,BU_Central,2023-07-02,5838.78,0,1,0
PMT-009999,INV-75655,V1067,Consulting,BU_East,2023-07-02,5200.26,0,1,0
PMT-006689,INV-74100,V1005,Logistics,BU_Central,2023-07-02,13590.75,0,1,0
PMT-004389,INV-16655,V1053,Office Supplies,BU_North,2023-07-02,4881.61,0,1,1
PMT-004187,INV-63297,V1080,Consulting,BU_Central,2023-07-02,21653.8,0,1,0
PMT-004904,INV-23272,V1014,Consulting,BU_East,2023-07-02,37723.84,0,1,0
PMT-011873,INV-70726,V1027,IT Services,BU_North,2023-07-02,15874.47,0,1,1
PMT-009489,INV-79095,V1056,Logistics,BU_South,2023-07-02,10016.33,0,1,1
PMT-003254,INV-50312,V1027,Consulting,BU_South,2023-07-02,39259.25,0,1,1
PMT-005797,INV-93447,V1058,IT Services,BU_South,2023-07-02,30211.97,0,1,1
PMT-003959,INV-62645,V1069,IT Services,BU_South,2023-07-02,56043.73,1,1,1
PMT-007974,INV-10573,V1041,Office Supplies,BU_South,2023-07-02,1568.85,0,1,1
PMT-006915,INV-17096,V1063,Logistics,BU_East,2023-07-02,1486.39,0,1,0
PMT-012607,INV-31535,V1018,IT Services,BU_South,2023-07-02,23920.52,0,1,1
PMT-011359,INV-68102,V1007,Consulting,BU_North,2023-07-02,14520.6,0,1,1
PMT-012477,INV-33789,V1027,IT Services,BU_West,2023-07-02,20059.87,0,1,0
PMT-000385,INV-45811,V1042,Consulting,BU_North,2023-07-02,19077.84,0,1,1
PMT-014545,INV-46134,V1048,Office Supplies,BU_East,2023-07-02,1981.49,0,1,0
PMT-009584,INV-52879,V1094,Consulting,BU_West,2023-07-02,4014.73,0,1,0
PMT-014993,INV-65322,V1084,IT Services,BU_West,2023-07-02,16594.32,0,1,0
PMT-007115,INV-12072,V1019,Office Supplies,BU_Central,2023-07-02,507.76,0,1,0
PMT-013745,INV-33895,V1086,IT Services,BU_East,2023-07-02,44663.25,0,1,0
PMT-002327,INV-35543,V1064,Facilities,BU_East,2023-07-02,5174.38,0,1,0
PMT-009959,INV-97700,V1090,Consulting,BU_East,2023-07-02,18896.18,0,1,0
PMT-007332,INV-13513,V1042,IT Services,BU_West,2023-07-02,29766.14,0,1,0
PMT-003747,INV-13525,V1021,Logistics,BU_West,2023-07-02,5715.87,0,1,0
PMT-009211,INV-86759,V1086,Consulting,BU_South,2023-07-02,29849.31,0,1,1
PMT-005449,INV-96168,V1030,Logistics,BU_North,2023-07-02,1926.36,0,1,1
PMT-001557,INV-93747,V1067,IT Services,BU_North,2023-07-02,58553.95,1,1,1
PMT-001194,INV-86304,V1046,Office Supplies,BU_South,2023-07-02,2170.28,0,1,1
PMT-010167,INV-35366,V1062,Facilities,BU_South,2023-07-02,7842.22,0,1,1
PMT-002197,INV-49105,V1042,Logistics,BU_North,2023-07-02,10038.01,1,1,1
PMT-000768,INV-59595,V1022,Consulting,BU_South,2023-07-02,22436.81,0,1,1
PMT-007507,INV-37731,V1014,Facilities,BU_East,2023-07-02,9856.31,0,1,0
PMT-010841,INV-17006,V1042,Logistics,BU_Central,2023-07-02,10874.69,0,1,0
PMT-010232,INV-54540,V1039,Consulting,BU_Central,2023-07-02,19895.92,0,1,0
PMT-009557,INV-55302,V1020,IT Services,BU_South,2023-07-02,45453.09,0,1,1
PMT-013900,INV-34394,V1033,IT Services,BU_West,2023-07-02,67491.01,0,1,0
PMT-012589,INV-81124,V1024,Logistics,BU_East,2023-07-03,14855.66,0,1,0
PMT-010221,INV-65216,V1064,IT Services,BU_East,2023-07-03,19370.25,0,1,0
PMT-006154,INV-61971,V1083,Office Supplies,BU_North,2023-07-03,2773.03,0,1,1
PMT-003407,INV-99173,V1069,Logistics,BU_West,2023-07-03,1179.5,0,1,0
PMT-004708,INV-20558,V1053,IT Services,BU_Central,2023-07-03,40085.18,0,1,0
PMT-004609,INV-39194,V1048,Logistics,BU_South,2023-07-03,8516.16,0,1,1
PMT-006223,INV-29528,V1033,Consulting,BU_South,2023-07-03,8693.51,1,1,1
PMT-007164,INV-95746,V1002,IT Services,BU_North,2023-07-03,35813.24,0,1,1
PMT-002159,INV-65314,V1079,Office Supplies,BU_East,2023-07-03,3749.3,0,1,0
PMT-009065,INV-96011,V1074,Office Supplies,BU_North,2023-07-03,2603.11,0,1,1
PMT-012599,INV-16236,V1078,Consulting,BU_North,2023-07-03,4138.45,0,1,1
PMT-000879,INV-81845,V1005,IT Services,BU_West,2023-07-03,76968.25,0,1,0
PMT-000845,INV-96194,V1021,IT Services,BU_Central,2023-07-03,50468.97,0,1,0
PMT-004460,INV-41942,V1013,Consulting,BU_South,2023-07-03,23857.83,0,1,1
PMT-DUP-000008,INV-49105,V1042,Logistics,BU_North,2023-07-03,10038.01,1,1,1
PMT-011439,INV-68851,V1096,Consulting,BU_Central,2023-07-03,7428.72,0,1,0
PMT-008664,INV-63528,V1074,IT Services,BU_Central,2023-07-03,46244.08,0,1,0
PMT-011351,INV-93529,V1097,Logistics,BU_North,2023-07-03,2060.26,0,1,1
PMT-003917,INV-24249,V1051,IT Services,BU_South,2023-07-03,20465.2,0,1,1
PMT-014821,INV-29671,V1047,IT Services,BU_West,2023-07-03,18888.76,0,1,0
PMT-013921,INV-10825,V1035,Facilities,BU_North,2023-07-03,8170.01,0,1,1
PMT-005607,INV-43392,V1022,IT Services,BU_West,2023-07-03,54584.79,0,1,0
PMT-009744,INV-57815,V1028,Consulting,BU_South,2023-07-03,48676.81,0,1,1
PMT-009833,INV-89544,V1077,Logistics,BU_Central,2023-07-03,9415.36,0,1,0
PMT-005738,INV-72174,V1012,Consulting,BU_Central,2023-07-03,36039.39,0,1,0
PMT-011261,INV-35034,V1028,Consulting,BU_North,2023-07-03,24453.31,0,1,1
PMT-004195,INV-36813,V1020,Logistics,BU_Central,2023-07-03,9330.65,0,1,0
PMT-000953,INV-78864,V1040,Consulting,BU_North,2023-07-03,38049.49,0,1,1
PMT-011842,INV-18367,V1084,IT Services,BU_West,2023-07-03,49836.6,0,1,0
PMT-008423,INV-72044,V1089,IT Services,BU_South,2023-07-03,52507.4,0,1,1
PMT-008364,INV-38710,V1096,Consulting,BU_East,2023-07-03,4512.67,0,1,0
PMT-000995,INV-33038,V1013,Logistics,BU_East,2023-07-03,7115.91,0,1,0
PMT-007981,INV-88643,V1062,Consulting,BU_West,2023-07-03,29108.85,0,1,0
PMT-000888,INV-22183,V1034,Facilities,BU_West,2023-07-03,8039.51,0,1,0
PMT-005034,INV-39133,V1020,IT Services,BU_South,2023-07-03,56090.69,0,1,1
PMT-006925,INV-66654,V1050,Facilities,BU_West,2023-07-03,5686.53,0,1,0
PMT-006114,INV-34496,V1076,Consulting,BU_West,2023-07-03,18767.4,0,1,0
PMT-000636,INV-60324,V1024,Logistics,BU_North,2023-07-03,10729.75,0,1,1
PMT-004794,INV-10071,V1028,Office Supplies,BU_Central,2023-07-03,1312.95,0,1,0
PMT-004803,INV-44217,V1071,IT Services,BU_West,2023-07-03,54027.4,0,1,0
PMT-001915,INV-29087,V1069,Logistics,BU_East,2023-07-03,12772.72,0,1,0
PMT-007969,INV-42089,V1000,IT Services,BU_West,2023-07-03,32819.26,0,1,0
PMT-001875,INV-11105,V1098,IT Services,BU_West,2023-07-03,35180.47,0,1,0
PMT-012719,INV-51701,V1087,Consulting,BU_North,2023-07-03,13223.97,0,1,1
PMT-006984,INV-30547,V1048,Logistics,BU_North,2023-07-03,14495.35,0,1,1
PMT-012174,INV-32570,V1070,Logistics,BU_South,2023-07-03,14280.54,0,1,1
PMT-DUP-000301,INV-80758,V1006,Logistics,BU_North,2023-07-03,6454.33,1,0,1
PMT-002232,INV-79319,V1075,Consulting,BU_East,2023-07-04,49836.74,0,1,0
PMT-007815,INV-27860,V1047,IT Services,BU_Central,2023-07-04,71283.31,0,1,0
PMT-002047,INV-67852,V1060,IT Services,BU_West,2023-07-04,40889.63,0,1,0
PMT-009801,INV-41643,V1046,Consulting,BU_South,2023-07-04,12610.65,1,1,1
PMT-001059,INV-21382,V1020,Consulting,BU_South,2023-07-04,23695.2,0,1,1
PMT-001101,INV-55107,V1032,Logistics,BU_Central,2023-07-04,14675.2,0,1,0
PMT-004217,INV-15831,V1048,Consulting,BU_South,2023-07-04,6010.05,0,1,1
PMT-007849,INV-84700,V1055,Facilities,BU_Central,2023-07-04,8641.62,0,1,0
PMT-014479,INV-38712,V1053,Consulting,BU_Central,2023-07-04,44834.56,0,1,0
PMT-008928,INV-70567,V1058,Logistics,BU_Central,2023-07-04,2261.03,0,1,0
PMT-014218,INV-23773,V1046,Logistics,BU_South,2023-07-04,9026.56,0,1,1
PMT-001929,INV-35929,V1025,Facilities,BU_North,2023-07-04,4062.93,0,1,1
PMT-008349,INV-54771,V1040,Logistics,BU_North,2023-07-04,10564.92,0,1,1
PMT-001787,INV-79422,V1096,IT Services,BU_South,2023-07-04,68008.11,0,1,1
PMT-013870,INV-50912,V1056,Consulting,BU_South,2023-07-04,23888.47,0,1,1
PMT-004328,INV-70367,V1015,Logistics,BU_East,2023-07-04,6200.49,0,1,0
PMT-001288,INV-52312,V1038,Office Supplies,BU_North,2023-07-04,1517.13,0,1,1
PMT-011937,INV-30987,V1068,Consulting,BU_Central,2023-07-04,40249.79,0,1,0
PMT-008568,INV-31838,V1018,Consulting,BU_East,2023-07-04,49447.62,0,1,0
PMT-009907,INV-86147,V1070,Office Supplies,BU_West,2023-07-04,4537.23,0,1,0
PMT-006538,INV-51007,V1084,Logistics,BU_Central,2023-07-04,14307.71,0,1,0
PMT-001587,INV-20780,V1005,Logistics,BU_East,2023-07-04,3232.89,0,1,0
PMT-008752,INV-46832,V1066,Office Supplies,BU_South,2023-07-04,4643.32,0,1,1
PMT-008765,INV-18285,V1020,Office Supplies,BU_North,2023-07-04,4477.63,0,1,1
PMT-012508,INV-98183,V1017,Consulting,BU_North,2023-07-04,5543.43,0,1,1
PMT-014848,INV-90613,V1037,Logistics,BU_South,2023-07-04,4647.03,0,1,1
PMT-003000,INV-34135,V1027,Consulting,BU_West,2023-07-04,25808.66,0,1,0
PMT-011435,INV-32915,V1094,IT Services,BU_South,2023-07-04,66971.85,1,1,1
PMT-012993,INV-48025,V1031,Consulting,BU_West,2023-07-04,48091.5,0,1,0
PMT-000169,INV-80010,V1090,IT Services,BU_South,2023-07-04,69159.54,0,1,1
PMT-003106,INV-65290,V1077,Consulting,BU_Central,2023-07-04,26336.22,0,1,0
PMT-013120,INV-86698,V1002,Consulting,BU_Central,2023-07-04,6527.93,0,1,0
PMT-009135,INV-86574,V1064,Office Supplies,BU_West,2023-07-04,903.55,0,1,0
PMT-010102,INV-77296,V1048,Facilities,BU_South,2023-07-04,5285.15,0,1,1
PMT-012820,INV-20966,V1044,IT Services,BU_Central,2023-07-04,7222.97,0,1,0
PMT-012580,INV-67066,V1035,Logistics,BU_West,2023-07-04,13997.89,0,1,0
PMT-004960,INV-86466,V1069,IT Services,BU_South,2023-07-04,7215.65,0,1,1
PMT-014801,INV-40174,V1076,IT Services,BU_East,2023-07-04,24531.62,0,1,0
PMT-009112,INV-69253,V1041,IT Services,BU_South,2023-07-04,67379.08,0,1,1
PMT-002575,INV-54657,V1009,Logistics,BU_West,2023-07-04,9729.07,0,1,0
PMT-011279,INV-76192,V1075,Consulting,BU_North,2023-07-04,3962.49,0,1,1
PMT-001790,INV-11303,V1098,IT Services,BU_North,2023-07-05,60623.11,0,1,1
PMT-DUP-000291,INV-62645,V1069,IT Services,BU_South,2023-07-05,56043.73,1,1,1
PMT-007662,INV-58234,V1083,Consulting,BU_West,2023-07-05,5378.27,0,1,0
PMT-006585,INV-83504,V1016,IT Services,BU_South,2023-07-05,47122.44,0,1,1
PMT-004107,INV-93864,V1072,Facilities,BU_West,2023-07-05,945.71,0,1,0
PMT-008875,INV-73680,V1028,Logistics,BU_East,2023-07-05,2772.7,0,1,0
PMT-007280,INV-71050,V1070,IT Services,BU_West,2023-07-05,54461.76,0,1,0
PMT-009523,INV-92804,V1014,Office Supplies,BU_West,2023-07-05,2772.79,0,1,0
PMT-002724,INV-80215,V1020,IT Services,BU_Central,2023-07-05,31086.68,0,1,0
PMT-002936,INV-30749,V1091,IT Services,BU_East,2023-07-05,20807.23,0,1,0
PMT-008474,INV-40531,V1026,Logistics,BU_North,2023-07-05,13184.25,0,1,1
PMT-DUP-000304,INV-32915,V1094,IT Services,BU_South,2023-07-05,66971.85,1,1,1
PMT-004477,INV-43388,V1036,IT Services,BU_North,2023-07-05,5399.31,0,1,1
PMT-010422,INV-89926,V1027,Logistics,BU_North,2023-07-05,5155.15,0,1,1
PMT-000203,INV-67939,V1080,Consulting,BU_Central,2023-07-05,18042.33,0,1,0
PMT-005257,INV-93577,V1099,Facilities,BU_East,2023-07-05,3808.19,0,1,0
PMT-009746,INV-95479,V1030,IT Services,BU_South,2023-07-05,74926.39,0,1,1
PMT-009728,INV-47060,V1000,Consulting,BU_Central,2023-07-05,29542.24,0,1,0
PMT-012783,INV-22761,V1089,Consulting,BU_Central,2023-07-05,18498.4,0,1,0
PMT-013483,INV-20916,V1044,Consulting,BU_West,2023-07-05,18478.86,0,1,0
PMT-DUP-000185,INV-93747,V1067,IT Services,BU_North,2023-07-05,58553.95,1,1,1
PMT-004520,INV-66747,V1022,Consulting,BU_East,2023-07-05,37578.75,0,1,0
PMT-011710,INV-61725,V1085,Office Supplies,BU_North,2023-07-05,2704.49,0,1,1
PMT-006105,INV-65225,V1031,Logistics,BU_East,2023-07-05,5925.58,0,1,0
PMT-005627,INV-11727,V1067,Logistics,BU_West,2023-07-05,13558.54,0,1,0
PMT-002168,INV-39591,V1018,Consulting,BU_East,2023-07-05,20904.74,0,1,0
PMT-010960,INV-80920,V1096,IT Services,BU_South,2023-07-05,61252.56,0,1,1
PMT-003466,INV-17821,V1052,Consulting,BU_South,2023-07-05,18066.47,0,1,1
PMT-008570,INV-32304,V1077,IT Services,BU_North,2023-07-05,65107.28,0,1,1
PMT-010835,INV-78502,V1087,Consulting,BU_Central,2023-07-05,13009.38,0,1,0
PMT-012881,INV-65185,V1058,Office Supplies,BU_East,2023-07-05,4174.4,0,1,0
PMT-001043,INV-86725,V1083,IT Services,BU_North,2023-07-05,45402.63,0,1,1
PMT-011633,INV-51293,V1059,Consulting,BU_North,2023-07-05,38016.72,0,1,1
PMT-008810,INV-50171,V1083,Consulting,BU_North,2023-07-05,47682.05,0,1,1
PMT-007731,INV-30250,V1049,Logistics,BU_Central,2023-07-05,3373.81,0,1,0
PMT-007648,INV-13912,V1093,Consulting,BU_North,2023-07-05,18314.27,0,1,1
PMT-010677,INV-46251,V1078,Office Supplies,BU_Central,2023-07-05,4719.44,0,1,0
PMT-012449,INV-62816,V1059,IT Services,BU_West,2023-07-06,47672.24,0,1,0
PMT-014112,INV-58941,V1003,IT Services,BU_East,2023-07-06,34906.2,0,1,0
PMT-008555,INV-95184,V1059,Office Supplies,BU_East,2023-07-06,3787.39,0,1,0
PMT-011935,INV-44413,V1069,IT Services,BU_North,2023-07-06,11822.74,0,1,1
PMT-008118,INV-40323,V1029,Logistics,BU_South,2023-07-06,11002.95,0,1,1
PMT-010385,INV-41628,V1009,Logistics,BU_North,2023-07-06,9935.86,0,1,1
PMT-009631,INV-83933,V1080,Logistics,BU_North,2023-07-06,6643.06,0,1,1
PMT-008008,INV-50703,V1070,Facilities,BU_Central,2023-07-06,2712.55,0,1,0
PMT-003942,INV-21056,V1018,IT Services,BU_North,2023-07-06,46221.67,0,1,1
PMT-006814,INV-83024,V1061,Consulting,BU_East,2023-07-06,26370.54,0,1,0
PMT-012467,INV-64981,V1060,Consulting,BU_North,2023-07-06,15525.96,0,1,1
PMT-008917,INV-78160,V1083,IT Services,BU_North,2023-07-06,5746.52,0,1,1
PMT-002203,INV-45321,V1068,Consulting,BU_West,2023-07-06,49506.75,0,1,0
PMT-011115,INV-76398,V1006,IT Services,BU_South,2023-07-06,44418.96,1,1,1
PMT-012190,INV-89364,V1056,IT Services,BU_North,2023-07-06,6153.17,0,1,1
PMT-007889,INV-91010,V1056,Facilities,BU_East,2023-07-06,9234.77,0,1,0
PMT-000245,INV-52823,V1037,Office Supplies,BU_South,2023-07-06,4776.85,0,1,1
PMT-011480,INV-74605,V1077,Consulting,BU_South,2023-07-06,5917.69,0,1,1
PMT-006120,INV-50681,V1018,Consulting,BU_South,2023-07-06,18684.6,0,1,1
PMT-013619,INV-67903,V1066,IT Services,BU_Central,2023-07-06,75483.72,0,1,0
PMT-010507,INV-82274,V1073,Consulting,BU_North,2023-07-06,41800.96,0,1,1
PMT-009761,INV-38420,V1056,Facilities,BU_East,2023-07-06,9035.34,0,1,0
PMT-009380,INV-46945,V1082,IT Services,BU_South,2023-07-06,49007.51,0,1,1
PMT-006226,INV-82614,V1024,IT Services,BU_West,2023-07-06,70764.39,0,1,0
PMT-010824,INV-60144,V1092,Consulting,BU_East,2023-07-06,42821.45,0,1,0
PMT-004544,INV-56404,V1028,Consulting,BU_West,2023-07-06,21754.9,0,1,0
PMT-009363,INV-81314,V1041,Logistics,BU_East,2023-07-06,1142.86,0,1,0
PMT-010022,INV-48155,V1012,Logistics,BU_West,2023-07-06,10931.29,0,1,0
PMT-006700,INV-30102,V1071,Consulting,BU_West,2023-07-06,5155.04,1,1,0
PMT-011784,INV-70718,V1077,Logistics,BU_Central,2023-07-06,14533.1,0,1,0
PMT-014238,INV-61060,V1043,Logistics,BU_South,2023-07-06,7404.37,0,1,1
PMT-014317,INV-69349,V1037,Logistics,BU_Central,2023-07-07,6358.8,0,1,0
PMT-006008,INV-60581,V1096,IT Services,BU_West,2023-07-07,20801.03,0,1,0
PMT-000688,INV-71736,V1097,Consulting,BU_Central,2023-07-07,14619.86,0,1,0
PMT-010227,INV-16853,V1004,Logistics,BU_North,2023-07-07,10106.71,0,1,1
PMT-006660,INV-62597,V1043,Facilities,BU_West,2023-07-07,8965.82,0,1,0
PMT-001045,INV-62095,V1087,IT Services,BU_Central,2023-07-07,66657.74,0,1,0
PMT-012036,INV-87077,V1069,Logistics,BU_West,2023-07-07,14543.97,0,1,0
PMT-001375,INV-73342,V1072,Facilities,BU_North,2023-07-07,8262.34,0,1,1
PMT-006665,INV-98362,V1002,IT Services,BU_East,2023-07-07,29463.88,0,1,0
PMT-009309,INV-91644,V1020,Office Supplies,BU_West,2023-07-07,2725.32,0,1,0
PMT-008373,INV-46633,V1001,Logistics,BU_West,2023-07-07,4055.46,0,1,0
PMT-008337,INV-84871,V1058,Facilities,BU_East,2023-07-07,9992.18,0,1,0
PMT-008603,INV-45915,V1081,Logistics,BU_North,2023-07-07,2374.92,0,1,1
PMT-012016,INV-33491,V1069,Consulting,BU_East,2023-07-07,47994.27,0,1,0
PMT-004025,INV-31981,V1090,Facilities,BU_Central,2023-07-07,8805.81,0,1,0
PMT-013672,INV-67770,V1059,IT Services,BU_Central,2023-07-07,41528.32,0,1,0
PMT-001497,INV-58029,V1046,Logistics,BU_West,2023-07-07,8737.9,0,1,0
PMT-000869,INV-43526,V1081,IT Services,BU_North,2023-07-07,38733.85,0,1,1
PMT-014526,INV-75472,V1037,Facilities,BU_Central,2023-07-07,2432.42,0,1,0
PMT-000397,INV-14244,V1072,IT Services,BU_East,2023-07-07,42941.65,0,1,0
PMT-011102,INV-62882,V1090,IT Services,BU_West,2023-07-07,14447.51,0,1,0
PMT-000625,INV-44387,V1014,IT Services,BU_East,2023-07-07,74063.59,0,1,0
PMT-009186,INV-73746,V1021,Consulting,BU_North,2023-07-07,33444.52,0,1,1
PMT-010404,INV-64214,V1066,Consulting,BU_North,2023-07-07,45669.73,0,1,1
PMT-005109,INV-14125,V1064,Logistics,BU_East,2023-07-07,9715.22,0,1,0
PMT-007808,INV-34469,V1067,Logistics,BU_South,2023-07-07,13202.91,0,1,1
PMT-013218,INV-12579,V1059,IT Services,BU_South,2023-07-07,70771.57,0,1,1
PMT-010433,INV-33553,V1095,Logistics,BU_East,2023-07-07,3454.35,0,1,0
PMT-014719,INV-25843,V1005,Consulting,BU_South,2023-07-07,33767.18,0,1,1
PMT-010144,INV-67532,V1005,IT Services,BU_West,2023-07-07,72031.81,0,1,0
PMT-004118,INV-13995,V1075,Office Supplies,BU_West,2023-07-07,936.13,0,1,0
PMT-014173,INV-56530,V1032,Office Supplies,BU_West,2023-07-07,3388.04,0,1,0
PMT-012183,INV-23015,V1001,Logistics,BU_West,2023-07-07,9963.07,0,1,0
PMT-011945,INV-86485,V1049,Consulting,BU_Central,2023-07-07,31201.29,0,1,0
PMT-011829,INV-25565,V1037,IT Services,BU_Central,2023-07-07,22358.99,0,1,0
PMT-003068,INV-26544,V1069,Logistics,BU_West,2023-07-07,1252.41,0,1,0
PMT-004336,INV-82555,V1013,Facilities,BU_East,2023-07-07,9513.97,0,1,0
PMT-013513,INV-37335,V1066,IT Services,BU_North,2023-07-08,7034.99,0,1,1
PMT-008081,INV-20855,V1041,Office Supplies,BU_South,2023-07-08,2939.19,0,1,1
PMT-000388,INV-65640,V1010,IT Services,BU_Central,2023-07-08,64797.15,0,1,0
PMT-007539,INV-99021,V1041,Facilities,BU_North,2023-07-08,1197.65,0,1,1
PMT-014635,INV-86936,V1098,IT Services,BU_South,2023-07-08,41990.86,0,1,1
PMT-010795,INV-66102,V1081,IT Services,BU_South,2023-07-08,48777.24,0,1,1
PMT-007294,INV-78641,V1074,Office Supplies,BU_North,2023-07-08,4921.47,0,1,1
PMT-004530,INV-15980,V1084,Logistics,BU_East,2023-07-08,4081.54,0,1,0
PMT-003569,INV-26160,V1074,Consulting,BU_North,2023-07-08,43742.2,0,1,1
PMT-000329,INV-90610,V1011,Office Supplies,BU_East,2023-07-08,1776.99,0,1,0
PMT-006389,INV-67569,V1039,Consulting,BU_North,2023-07-08,11378.92,0,1,1
PMT-014870,INV-83850,V1047,Logistics,BU_West,2023-07-08,10339.05,0,1,0
PMT-009914,INV-50406,V1002,IT Services,BU_Central,2023-07-08,24592.57,0,1,0
PMT-003539,INV-42197,V1023,IT Services,BU_South,2023-07-08,48048.14,0,1,1
PMT-004574,INV-45083,V1092,IT Services,BU_North,2023-07-08,31634.88,0,1,1
PMT-001998,INV-52731,V1064,Consulting,BU_North,2023-07-08,26149.16,0,1,1
PMT-001728,INV-60867,V1057,IT Services,BU_Central,2023-07-08,75626.9,0,1,0
PMT-000264,INV-57012,V1082,Facilities,BU_Central,2023-07-08,4616.34,0,1,0
PMT-003814,INV-48513,V1023,Logistics,BU_East,2023-07-08,13455.62,0,1,0
PMT-001917,INV-98906,V1084,Logistics,BU_North,2023-07-08,12530.73,0,1,1
PMT-010547,INV-16674,V1071,Office Supplies,BU_East,2023-07-08,1400.22,0,1,0
